Comment,Predicted Class
Hi Brad i am from Pakistan 🇵🇰. I really like your videos and your are inspiration to me. I learned a lot from you.,Positive
"Thanks Brad, as you mentioned, what should be done get a profit of this project after I deploy it? May be this can be a good topic for your next video.",Neutral
"Interesting, I didn't know that creating a QRCode was that simple in JS",Positive
is there a reason you don't use a FormData object for form handling inside your submit event listener?,Interrogative
I am looking to redo the URL shorter to add a QRCode generator so when you shorten a URL is till generate a QR for the short URL.,Neutral
"If anybody wants to be able to input a website without http://, change the input type=""text"" in the html, and add a simple conditional statement to the setTimeout.",Neutral
Can u please make a video about Progressive web apps ? thanks in advance,Interrogative
console.log from inside a Py script took my breath away. Obviously the the ability to use Py packages in the browser is great but the bi-directional link between Py and JS to me is the most fascinating thing about this innovation.,Neutral
"That's wicked, thanks for the small review video",Positive
Finally a video that clarifies pyscript. I think it's just the beginning but it could be bigger later on.,Positive
Wow that was incredible! 🤯 The ability to use Python packages in the browser!!! That's huge 💯 Thanks for putting this video together Brad 👍🏻,Positive
"Can't wait to see a full course from you, when Pyscript is ready.",Positive
"Hi there team Traversy, I've been following your channel and find it very Educational,and honestly tutorials are really helpful-and the tutor too.",Positive
Just waited for your explanation as usual. It helped to learned a lot from this single video than prevous 2-3 days. Thanks man.,Positive
Thanks for this Brad...How exciting! Plenty to explore.,Positive
"Simple project: You can have an Arduino/ESP32/Raspberry Pi, Python in the middle and PyScript on the Front-end and create really nice Dashboard, for instance.",Neutral
Thanks for this Brad...How exciting! Plenty to explore.,Positive
Great and concise as always!,Positive
Thank you for sharing knowledge with the community.You earned +1 subscriber❤❤,Positive
"I see this as a huge oportunity to run ai in the browser, like tensor flow, keras. Really looking forward to check this one out",Neutral
Just today decided to switch over for a bit to Python for various reasons...then I come across this video. How perfect a timing!,Positive
"Brad, this is great ! I'm going to have some fun with this. Great video. You are the best !",Positive
"very nice. as a web dev and a slytherin, i really love the idea of adding Python to my applications.",Positive
"I think you can still use to parse/manipulate the dom tree, using Beatufulsoup",Neutral
Thats cool I bet you can make python and JS interoperate using the dom as a messaging service,Neutral
Question. Is pyscript able to import any module if as long as i put it in a seperate .py file?,Interrogative
I could see a use for this in basic authentication for new backend developers,Neutral
As a Python developer... this is wild!,Positive
Thank you as always Brad!,Positive
"Can you train a model, pickle it and distribute the pickle through the web this way?",Interrogative
Finally good video about Pyscript! Thanks,Positive
I'm no expert in python but can I used Pip packages ?,Interrogative
"This is great, thanks for posting this video!",Positive
would love to call python libraries like this on backend node server too,Neutral
This vid is good and very educational for me! thanks.,Positive
Thanks you sir for good work. It will be a privilege to meet you one on one,Positive
20:35 really hit the frontend developers's thought!,Neutral
I just <3 your tutorials X),Positive
Hello Mr.brad I have a question  how i can use the pyscript tag locally?,Interrogative
"I hated Python just because of the indentation sensitivity and not having code block marks,  Compression, mangling ..etc",Neutral
Could you do a video on using pyscript with react?,Interrogative
The new intro is so modern and fire!!!,Positive
Very interesting video Brad!,Positive
"Could you please tell me, why does python take too much time to load html page and why it is not faster than javascript?",Interrogative
A bit confusing that the python print function doesn't output on console imo,Negative
"I wonder if you could then package it using electron, as an alternative to tkinter and all that faff for simple GUI apps.",Neutral
You can't replace JS as a web language just like you can't replace Python as ML/AI language. I believe both the languages have proved their longetivity.,Neutral
Gota love Web Assembly - Thanks Brad!,Positive
he project is good but it will take time for it to be as fast and reliant as javascript,Neutral
"There was some problem with numpy - ModuleNotFoundError: No module named ""numpy"" even when the module was actually installed.",Negative
Long way from this being actually useful but still a great step,Positive
Htmx is also so cool and revolutionary.,Positive
"Me: Starts learning HTML, CSS, and JavaScript so I can make websites Traversy: Hold my PyScript",Neutral
"basically, a Blazor alternative that was created a long time ago.",Neutral
Cant wait to see browsers getting slower :D,Negative
Great intro! This is a big step forward imho,Positive
Damn Awesome Content 🔥,Positive
